Date,Value
2018-11-08 17,29.4039988
2018-11-08 18,39.69249925
2018-11-08 19,39.2079988
2018-11-08 20,35.651999
2018-11-08 21,35.5999992
2018-11-08 22,47.007499749999994
2018-11-08 23,60.3400002
2018-11-09 00,64.2919984
2018-11-09 01,72.25999825
2018-11-09 02,73.05332933333334
2018-11-09 03,69.61799800000001
2018-11-09 04,56.3079976
2018-11-09 05,60.165998
2018-11-09 06,76.48249824999999
2018-11-09 07,88.0299972
2018-11-09 08,88.981999
2018-11-09 09,102.61333233333333
2018-11-09 10,87.785
2018-11-09 11,82.2499986
2018-11-09 12,55.46599940000001
2018-11-09 13,43.4299995
2018-11-09 14,42.0659982
2018-11-09 15,35.521999400000006
2018-11-09 16,38.46249975
2018-11-09 17,42.4919982
2018-11-09 18,42.0159996
2018-11-09 19,38.3799996
2018-11-09 20,35.24999925
2018-11-09 21,31.359999199999997
2018-11-09 22,33.8839988
2018-11-09 23,45.80749875
2018-11-10 00,55.9859992
2018-11-10 01,72.4419982
2018-11-10 02,57.6499986
2018-11-10 03,48.80749874999999
2018-11-10 04,43.671999
2018-11-10 05,56.3139992
2018-11-10 06,57.61999875
2018-11-10 07,56.3419992
2018-11-10 08,55.231998399999995
2018-11-10 09,53.2119986
2018-11-10 10,46.34499925
2018-11-10 11,47.1939986
2018-11-10 12,33.3019996
2018-11-10 13,28.889999250000002
2018-11-10 14,26.557999600000006
2018-11-10 15,27.3979996
2018-11-10 16,25.367999399999995
2018-11-10 17,31.52499875
2018-11-10 18,37.801999
2018-11-10 19,49.8379988
2018-11-10 20,47.58999825
2018-11-10 21,47.46
2018-11-10 22,44.909999
2018-11-10 23,49.0100002
2018-11-11 00,47.11249925
2018-11-11 01,40.095999
2018-11-11 02,34.34999839999999
2018-11-11 03,41.00999925000001
2018-11-11 04,51.3759996
2018-11-11 05,57.7779984
2018-11-11 06,48.87
2018-11-11 07,47.2739998
2018-11-11 08,45.677999
2018-11-11 09,32.3259986
2018-11-11 10,32.294999000000004
2018-11-11 11,36.1259984
2018-11-11 12,49.175998799999995
2018-11-11 13,63.57499975
2018-11-11 14,66.70999880000001
2018-11-11 15,59.4459976
2018-11-11 16,56.2059986
2018-11-11 17,55.459998000000006
2018-11-11 18,67.1339982
2018-11-11 19,78.6039994
2018-11-11 20,76.067499
2018-11-11 21,81.83599840000001
2018-11-11 22,72.13199900000001
2018-11-11 23,57.743332
2018-11-12 00,50.8339988
2018-11-12 01,45.019999750000004
2018-11-12 02,39.727499
2018-11-12 03,35.897999000000006
2018-11-12 04,42.2239998
2018-11-12 05,50.344998499999996
2018-11-12 06,47.32199920000001
2018-11-12 07,39.0779998
2018-11-12 08,35.130000249999995
2018-11-12 09,33.571999600000005
2018-11-12 10,36.419999000000004
2018-11-12 11,45.8179984
2018-11-12 12,55.142499
2018-11-12 13,56.215997400000006
2018-11-12 14,49.9939988
2018-11-12 15,48.83249875
2018-11-12 16,53.1359992
2018-11-12 17,49.315999
2018-11-12 18,49.1039992
2018-11-12 19,53.73499875
2018-11-12 20,64.119999
2018-11-12 21,56.7279992
2018-11-12 22,57.1799995
2018-11-12 23,52.03599859999999
2018-11-13 00,50.58799839999999
2018-11-13 01,45.19599839999999
2018-11-13 02,38.96499825
2018-11-13 03,34.3319994
2018-11-13 04,30.783999600000005
2018-11-13 05,31.08499975
2018-11-13 06,33.969999
2018-11-13 07,33.974
2018-11-13 08,29.2219992
2018-11-13 09,26.434999249999997
2018-11-13 10,24.8959994
2018-11-13 11,26.673999399999996
2018-11-13 12,31.2449995
2018-11-13 13,30.523999000000003
2018-11-13 14,29.091999400000002
2018-11-13 15,25.905999200000004
2018-11-13 16,28.9874995
2018-11-13 17,33.36999959999999
2018-11-13 18,45.21999960000001
2018-11-13 19,58.62499925
2018-11-13 20,62.647999600000006
2018-11-13 21,59.579998599999996
2018-11-13 22,67.50199760000001
2018-11-13 23,57.94749925
2018-11-14 00,55.1999992
2018-11-14 01,51.025998599999994
2018-11-14 02,53.42499925
2018-11-14 03,54.5999992
2018-11-14 04,67.9119988
2018-11-14 05,68.42999739999999
2018-11-14 06,48.6549995
2018-11-14 07,32.9019988
2018-11-14 08,34.745999000000005
2018-11-14 09,31.087499249999993
2018-11-14 10,25.441999599999995
2018-11-14 11,25.331999800000002
2018-11-14 12,37.4039992
2018-11-14 13,49.5999985
2018-11-14 14,46.532
2018-11-14 15,51.751998
2018-11-14 16,54.454999
2018-11-14 17,55.697999
2018-11-14 18,55.113998200000005
2018-11-14 19,63.0519996
2018-11-14 20,57.79249850000001
2018-11-14 21,56.7759994
2018-11-14 22,57.4499986
2018-11-14 23,56.772498
2018-11-15 00,45.121998600000005
2018-11-15 01,35.2379998
2018-11-15 02,30.611999000000004
2018-11-15 03,24.8849995
2018-11-15 04,21.4879992
2018-11-15 05,19.9259998
2018-11-15 06,21.942499499999997
2018-11-15 07,24.921999800000002
2018-11-15 08,33.61599940000001
2018-11-15 09,38.091999799999996
2018-11-15 10,37.535
2018-11-15 11,71.9119986
2018-11-15 12,46.4779992
2018-11-15 13,46.842498750000004
